 Ticker,Description,Total Revenue (FY),Gross Profit (FY),Net Income (FY),Industry
NCLH,Norwegian Cruise Line Holdings Ltd.,4843760000,-61350000.0000001,-2269909000,Hotels/Resorts/Cruise lines
UNCY,"Unicycive Therapeutics, Inc.",951000,944000,-18058000,Miscellaneous Commercial Services
AFRM,"Affirm Holdings, Inc.",1587985000,1330642000,-985345000,Finance/Rental/Leasing
IOT,Samsara Inc.,652545000,469889000,-247422000,Packaged Software
INTV,"Integrated Ventures, Inc.",3862849,-2434618,-25459967,Miscellaneous Commercial Services
TRL.H,TRILOGY INTERNATIONAL PARTNERS INC,229066316.84652352,95938812.97357047,416286112.79955286,Wireless Telecommunications
BSGM,"BioSig Technologies, Inc.",286000,-437000,-27052000,Medical Specialties
ANIX,"Anixa Biosciences, Inc.",0,-42000,-13595000,Biotechnology
ELMSQ,Electric Last Mile Solutions Inc.,,,,Motor Vehicles
SATT,SATIVUS TECH CORP.,0,-38000,-1527000,Electrical Products
ACGX,"Alliance Creative Group, Inc.",12242126,2808263,93170,Commercial Printing/Forms
ARTM,"American Nortel Communications, Inc.",0,0,-49296,Major Telecommunications
LOVE,The Lovesac Company,651179000,332809000,26488000,Home Furnishings
AMWD,American Woodmark Corporation,2066199999.9999995,357524000,93723000,Building Products
QRTEA,Liberty Interactive Corporation - Series A QVC Group Common Stock,12106000000,2373000000,-2594000000,Broadcasting
UATG,"Umbra Applied Technologies Group, Inc.",1488581,883677,-311783,Aerospace & Defense
AXR,AMREP Corporation,48676000,18899000,21790000,Real Estate Development
OPEN,Opendoor Technologies Inc,15567000000,667000000,-1353000000,Real Estate Development
RRGB,"Red Robin Gourmet Burgers, Inc.",1266617000,119727000,-77800000,Restaurants
LPSN,"LivePerson, Inc.",514799999.99999994,303902000,-225747000,Packaged Software
SDRC,Sidney Resources Corp.,0,-282740,-171307,Precious Metals
KNW,"Know Labs, Inc.",4360087,4039092,-20071244,Electronic Equipment/Instruments
BYON,"Beyond, Inc.",1929334000,427369000,-35236000,Internet Retail
EXPI,"eXp World Holdings, Inc.",4598161000,366899000,15442000,Real Estate Development
AZTR,Azitra Inc,284000,-121977,-10680366,Pharmaceuticals: Major
HRTX,"Heron Therapeutics, Inc.",107672000,52798000,-182024000,Biotechnology
ANVS,"Annovis Bio, Inc.",0,0,-25328567,Pharmaceuticals: Major
STTK,"Shattuck Labs, Inc.",652000,-2723000,-101945000,Biotechnology
LPTX,"Leap Therapeutics, Inc.",0,-415000,-54596000,Biotechnology
INOD,Innodata Inc.,79001000,27662000,-11935000,Data Processing Services
SINT,"SiNtx Technologies, Inc.",1561000,333000,-12039000,Medical Specialties
SPRU,Spruce Power Holding Corporation,23194000,13245000,-93931000,Electric Utilities
TNGX,"Tango Therapeutics, Inc.",24860000,20832000,-108176000,Biotechnology
IMPM,"Impac Mortgage Holdings, Inc.",27176000,22306000,-39432000,Finance/Rental/Leasing
CWEB,CHARLOTTES WEB HOLDINGS INC,71201414.00690272,14407580.5302412,-56962859.88469532,Agricultural Commodities/Milling
LBPH,"Longboard Pharmaceuticals, Inc.",0,-5000,-43945000,Miscellaneous Commercial Services
ULCC,"Frontier Group Holdings, Inc.",3326000000,51000000,-37000000,Airlines
LE,"Lands' End, Inc.",1555429000,555025000,-12530000,Apparel/Footwear Retail
MLAB,"Mesa Laboratories, Inc.",219080000,110518000,930000,Medical Specialties
PHAT,"Phathom Pharmaceuticals, Inc.",0,-620000,-197723000,Pharmaceuticals: Major
STEM,"Stem, Inc.",362980000,36592000,-124054000,Electrical Products
BULT,BULLET BLOCKCHAIN INC.,,,,Oil & Gas Production
XBIO,"Xenetic Biosciences, Inc.",1706925,1679882,-6552353,Pharmaceuticals: Major
RAPT,"RAPT Therapeutics, Inc.",1527000,-1280000,-83838000,Pharmaceuticals: Major
BZFD,"BuzzFeed, Inc.",436674000,148129000,-200957000,Internet Software/Services
MSTR,MicroStrategy Incorporated,499264000,391775000,-1469797000,Internet Software/Services
ALIM,"Alimera Sciences, Inc.",54129000,43446000,-18107000,Pharmaceuticals: Major
CCL,Carnival Corporation,12168000000,-1424000000,-6093000000,Hotels/Resorts/Cruise lines
ALMU,"Aeluma, Inc.",,,,Miscellaneous Commercial Services
INBX,"Inhibrx, Inc.",2178000,-668000,-145226000,Biotechnology
AYR.A,"AYR WELLNESS INC. S.V., RVS, L.V.",447168966.2264941,128295845.58421572,-235739978.8319018,Pharmaceuticals: Major
VISL,"Vislink Technologies, Inc.",28402000,11476000,-13540000,Electronics Distributors
CDZI,"Cadiz, Inc.",1501000,-1238000,-24792000,Real Estate Development
MOND,"Mondee Holdings, Inc.",159484000,60324000,-90238000,Other Consumer Services
FFWM,First Foundation Inc.,452112000,,110512000,Regional Banks
PETV,"PetVivo Holdings, Inc.",917162.00000022,275911.00000007,-8717608.00000204,Medical Specialties
ACRG.A.U,"ACREAGE HOLDINGS, INC. FIXED S.V.",237138000,93866000,-139876000,Agricultural Commodities/Milling
STHZ,STATEHOUSE HOLDINGS INC,103958661.77630115,38690262.92533773,-230861292.78663805,Agricultural Commodities/Milling
IFAN,"IFAN Financial, Inc.",,,,Financial Conglomerates
MOBO,Mobile Lads Corp,0,0,-2263292,Miscellaneous Commercial Services
MWWC,Marketing Worldwide Corp.,,,,Auto Parts: OEM
BRZV,"Breezer Ventures, Inc.",0,-123250.00000012,-174315.00000016,Integrated Oil
RNG,"RingCentral, Inc.",1988330000,1346599000,-879166000,Packaged Software
KRRO,"Korro Bio, Inc.",0,-5136000,-81580000,Biotechnology
SPGC,"Sacks Parente Golf, Inc.",190000,69000,-3505000,Recreational Products
TBNK,Territorial Bancorp Inc.,66911000,,16058000,Savings Banks
AULT,"Ault Alliance, Inc.",134334000,55972000,-181816000,Electrical Products
DMAC,DiaMedica Therapeutics Inc.,0,-25000.00000004,-13676000.000022,Pharmaceuticals: Major
VIRI,"Virios Therapeutics, Inc.",0,0,-12247834,Pharmaceuticals: Major
ORIC,"Oric Pharmaceuticals, Inc.",0,-966000,-89122000,Pharmaceuticals: Major
BMRA,"Biomerica, Inc.",5339000,446000,-7140000,Medical Specialties
PBIT,POSABIT SYSTEMS CORPORATION,47800012.25423867,19495321.51016864,7744101.42556958,Information Technology Services
FBTT,"First Bankers Trustshares, Inc.",37920000,,8823000,Regional Banks
INAB,"IN8bio, Inc.",0,-1103000,-28521000,Biotechnology
SWRM,"AppSwarm, Inc.",,,,Information Technology Services
GVP,"GSE Systems, Inc.",47734000,10738000,-15343000,Engineering & Construction
LSTA,"Lisata Therapeutics, Inc.",0,-69000,-54225000,Pharmaceuticals: Major
PCSA,"Processa Pharmaceuticals, Inc.",0,-874013,-27424229,Pharmaceuticals: Major
NVRI,Enviri Corporation,1889065000,315922000,-180069000,Environmental Services
TYRA,"Tyra Biosciences, Inc.",0,-296000,-55325000,Miscellaneous Commercial Services
STEV,Stevia Corp.,,,,Miscellaneous Commercial Services
ECPL,"EcoPlus, Inc.",,,,Environmental Services
LTBR,Lightbridge Corporation,0,0,-7497857,Chemicals: Specialty
DOUG,Douglas Elliman Inc.,1155361000,216979000,-6326000,Real Estate Development
VOR,Vor Biopharma Inc.,0,-8960000,-92094000,Biotechnology
AIM,AIM ImmunoTech Inc.,141000,565000,-19445000,Pharmaceuticals: Major
MTNB,"Matinas Biopharma Holdings, Inc.",3188000,2290000,-20997000,Pharmaceuticals: Major
STXS,"Stereotaxis, Inc.",28147000,18470000,-18292000,Medical Specialties
FUNC,First,80439000,,25048000,Regional Banks
LYRA,"Lyra Therapeutics, Inc.",1363000,296000,-55278000,Pharmaceuticals: Major
AKRO,"Akero Therapeutics, Inc.",0,-260000,-112033000,Pharmaceuticals: Major
CCEL,"Cryo-Cell International, Inc.",30336749,20424863,2771408,Other Transportation
TNDM,"Tandem Diabetes Care, Inc.",801217000,400656000,-94594000,Medical Specialties
ADV,Advantage Solutions Inc.,4049742000,323484000,-1380502000,Advertising/Marketing Services
ACRL,"Atacama Resources International, Inc.",0,0,54423,Miscellaneous Commercial Services
KRON,"Kronos Bio, Inc.",0,-4463000,-133204000.00000001,Pharmaceuticals: Major
RLAY,"Relay Therapeutics, Inc.",1381000,-2749000,-290509000,Biotechnology
FERN,Fernhill Corp.,551142,-746931,-1023236,Precious Metals
ZIMV,ZimVie Inc.,913862000,532208999.99999994,-63881000,Medical Specialties
HOWL,"Werewolf Therapeutics, Inc.",16401000,13891000,-53810000,Pharmaceuticals: Major
PSTX,"Poseida Therapeutics, Inc.",130491999.99999999,125320000,-64001999.99999999,Biotechnology
BW,"Babcock & Wilcox Enterprises, Inc.",889815000,178346000,-22861000,Electronic Equipment/Instruments
BTTX,"Better Therapeutics, Inc.",0,-2729000,-39760000,Medical Specialties
AAN,"Aarons Holdings Company, Inc.",2249434000,1152443000,-5280000,Specialty Stores
VSAT,"ViaSat, Inc.",2556158000,691593000,-577085000,Telecommunications Equipment
CVM,Cel-Sci Corporation,0,-3883386,-36700681,Biotechnology
CBNT,C-Bond Systems Inc.,2232646,-1605255,-5117965,Chemicals: Major Diversified
AVRW,Avenir Wellness Solutions Inc.,4896000,1761000,-18540000,Pharmaceuticals: Major
FWBI,"First Wave BioPharma, Inc.",0,-106207,-14629642,Biotechnology
XDSL,"mPhase Technologies, Inc.",0,-18556,-20536499,Packaged Software
OWPC,One World Products Inc.,125662,-332289,-3059477,Agricultural Commodities/Milling
HOUS,Anywhere Real Estate Inc.,6908000000,902000000,-287000000,Real Estate Development
BKKT,"Bakkt Holdings, Inc.",54567000,26538000,-578105000,Miscellaneous Commercial Services
CVRX,"CVRx, Inc.",22469000,17058000,-41428000,Medical Specialties
SKIN,The Beauty Health Company,365876000,244348000,44384000,Medical Specialties
MCB,Metropolitan Bank Holding Corp.,287332000,,59284000,Regional Banks
LXRX,"Lexicon Pharmaceuticals, Inc.",139000,-288000,-101944000,Pharmaceuticals: Major
PDPG,Performance Drink Group Inc.,0,0,-1445315.69,Real Estate Development
VTSI,"VirTra, Inc.",28302244,16254878,1955898,Information Technology Services
MLCT,MALACHITE INNOVATIONS INC.,4832278.00000601,1393252.00000173,-1072176.00000133,Biotechnology
TNGL,"Tonogold Resources, Inc.",0,0,-36051548,Precious Metals
CBIH,"CANNABIS BIOSCIENCE INTERNATIONAL HOLDINGS, INC.",316825,223375,-1032579,Miscellaneous Commercial Services
NICH,"Nitches, Inc.",4224,-22389,-827018,Apparel/Footwear
GLXY,GALAXY DIGITAL HLDGS LTD,0,0,-501966175.25825685,Miscellaneous Commercial Services
AMCX,AMC Networks Inc.,3096545000,1473416000,7594000,Cable/Satellite TV
COIN,"Coinbase Global, Inc.",3194208000,2564328000,-2624949000,Investment Banks/Brokers
SLNH,"Soluna Holdings, Inc.",28547000,-7959000,-98715000,Electronic Equipment/Instruments
TSP,TuSimple Holdings Inc.,9369000,-10411000,-472045000,Motor Vehicles
KROS,"Keros Therapeutics, Inc.",0,-1615000,-104679000,Pharmaceuticals: Major
FDMT,"4D Molecular Therapeutics, Inc.",3129000,-751000,-107494000,Biotechnology
RENT,"Rent the Runway, Inc.",296400000,55100000,-138700000,Internet Retail
AMRX,"Amneal Pharmaceuticals, Inc.",2212304000,795819000,-129985999.99999999,Pharmaceuticals: Major
ARQT,"Arcutis Biotherapeutics, Inc.",3686000,1991000,-311458000,Pharmaceuticals: Major
DCPH,"Deciphera Pharmaceuticals, Inc.",134036000,118194000,-178931000,Biotechnology
VPRB,"VPR Brands, LP",4927616,1637666,-203697,Industrial Conglomerates
OMER,Omeros Corporation,0,-952000,47417000,Pharmaceuticals: Major
RR,Richtech Robotics Inc.,6049000,3951000,-507000,Industrial Machinery
UIS,Unisys Corporation New,1979900000,556300000,-106000000,Information Technology Services
MEIL,Methes Energies International Ltd,,,,Chemicals: Specialty
EQ,"Equillium, Inc.",15759000,15641000,-62428000,Biotechnology
PARA,Paramount Global,30154000000,9904000000,1104000000,Broadcasting
BIRD,"Allbirds, Inc.",297766000,113428000,-101354000,Apparel/Footwear
ONCT,"Oncternal Therapeutics, Inc.",1490000,1311000,-44170000,Pharmaceuticals: Major
QFTA,Quantum FinTech Acquisition Corporation,0,0,11045567,Financial Conglomerates
PPBI,Pacific Premier Bancorp Inc,857326000,,280338000,Regional Banks
SAVA,"Cassava Sciences, Inc.",0,-1301000,-76246000,Biotechnology
AXTI,AXT Inc,141118000,52121000,15811000,Electronic Production Equipment
PRME,"Prime Medicine, Inc.",0,-12014000,-121821000,Biotechnology
PHR,"Phreesia, Inc.",280910000,142875000,-176146000,Packaged Software
THRD,"Third Harmonic Bio, Inc.",0,-38000,-35155000,Pharmaceuticals: Major
RGCO,RGC Resources Inc.,97439765,20002794,11299282,Gas Distributors
INIS,"International Isotopes, Inc.",11181988,2899409,303238,Medical Specialties
BFYW,Better For You Wellness Inc.,11414,-6995,-3527425,Electrical Products
DCOM,"Dime Community Bancshares, Inc.",473744000,,150868000,Regional Banks
ACET,"Adicet Bio, Inc.",24990000,19981000,-69790000,Pharmaceuticals: Major
DFH,"Dream Finders Homes, Inc.",3342335000,620196000,262313000,Homebuilding
AIRS,"AirSculpt Technologies, Inc.",168794000,97952000,-14679000,Medical Specialties
SMLR,"Semler Scientific, Inc.",56686000,52434000,14325000,Medical Specialties
LDI,"loanDepot, Inc.",1778031000,1817079000,-273020000,Finance/Rental/Leasing
ADTN,"ADTRAN Holdings, Inc.",1025536000,327260000,-2037000,Computer Peripherals
RDW,Redwire Corporation,160549000,28695000,-130616999.99999999,Aerospace & Defense
PLBC,Plumas Bancorp,70771000,,26444000,Regional Banks
INSG,Inseego Corp.,245323000,65160000,-67969000,Telecommunications Equipment
NFBK,"Northfield Bancorp, Inc.",187671000,,61119000,Savings Banks
CANS,WILDPACK BEVERAGE INC,33972387.26014885,-13425114.53354504,-35193026.83180175,Beverages: Alcoholic
BTTC,BITECH TECHNOLOGIES CORPORATION,26197,,-811635,Internet Software/Services
VXIT,VirExit Technologies Inc.,,,,Biotechnology
WEX,WESTERN EXPLORATION INC,0,-10152.14863253,-5170416.98213426,Precious Metals
GEVI,GENERAL ENTERPRISE VENTURES INC.,,,,Environmental Services
IESC,"IES Holdings, Inc.",2377227000,415131000,92576000,Engineering & Construction
SMR,NuScale Power Corporation,11804000,4487000,-25914000,Electrical Products
DSP,Viant Technology Inc.,197168000,77798000,-11913000,Packaged Software
CBDW,1606 CORP.,,,,Specialty Stores
APLS,"Apellis Pharmaceuticals, Inc.",75422000,68299000,-652172000,Pharmaceuticals: Major
CANO,"Cano Health, Inc.",2738916000,331053000,-207272000,Medical/Nursing Services
SNV,Synovus Financial Corp.,2485554000,,757902000,Regional Banks
FOSL,"Fossil Group, Inc.",1682439000,819890000,-44157000,Other Consumer Specialties
RDFN,Redfin Corporation,2284442000,286053000,-321143000,Real Estate Development
EBS,"Emergent Biosolutions, Inc.",1120900000,369900000,-223800000,Pharmaceuticals: Major
PYXS,"Pyxis Oncology, Inc.",0,-1836000,-120717000,Pharmaceuticals: Major
CLPT,ClearPoint Neuro Inc.,20551000,13531000,-16435000,Medical Specialties
LAW,"CS Disco, Inc.",135190000,101027000,-70765000,Packaged Software
WOWID,"Metro One Telecommunications, Inc.",,,,Miscellaneous Commercial Services
RIGL,"Rigel Pharmaceuticals, Inc.",120242000,118493000,-58573000,Pharmaceuticals: Major
RVLV,"Revolve Group, Inc.",1101416000,587632000,58697000,Internet Retail
MRKR,"Marker Therapeutics, Inc.",5500000,1819551,-29930694,Biotechnology
EGHT,8x8 Inc,743938000,502463000,-73143000,Packaged Software
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware)",930000,231000,-33017000.00000001,Pharmaceuticals: Major
WBA,"Walgreens Boots Alliance, Inc.",139081000000,24815000000,-3080000000,Pharmaceuticals: Major
LAAB,Startech Labs Inc.,0,0,-61242,Packaged Software
GRND,Grindr Inc.,195015000.000964,106230000.000525,852000.00000421,Internet Software/Services
HGV,Hilton Grand Vacations Inc.,3835000000,1031000000,352000000,Real Estate Development
ARDX,"Ardelyx, Inc.",52158000,43440000,-67207000,Pharmaceuticals: Major
RXST,"RxSight, Inc.",49005000,21328000,-66756000,Electronic Components
BIG,"Big Lots, Inc.",5468329000,1758644000,-210708000,Discount Stores
LAZY,"Lazydays Holdings, Inc.",1326961000,311933000,45419000,Specialty Stores
ATXS,"Astria Therapeutics, Inc.",0,0,-51834000,Pharmaceuticals: Major
LGVN,Longeveron Inc.,1222000,-396000,-18835000,Biotechnology
PCLB,"Pinnacle Bancshares, Inc.",13990717,,4504196,Regional Banks
SPRO,"Spero Therapeutics, Inc.",48579000,47032000,-46415000,Biotechnology
WOR,"Worthington Enterprises, Inc.",4916392000,702010000,256528000.00000003,Steel
OPRT,Oportun Financial Corporation,952545000,,-77744000,Finance/Rental/Leasing
NIHK,"Video River Networks, Inc.",3866539,2498424,767121,Electronic Equipment/Instruments
NHC,National HealthCare Corporation,1054839000,23194000,22445000,Hospital/Nursing Management
ANAB,"AnaptysBio, Inc.",10287000,7952000,-128723999.99999999,Biotechnology
BHRB,Burke & Herbert Financial Services Corp.,131029000,,44013000,Regional Banks
INFN,Infinera Corporation,1573242000,521422000,-76043000,Telecommunications Equipment
SLAB,"Silicon Laboratories, Inc.",1024106000,608486000,91402000,Semiconductors
AMAM,"Ambrx Biopharma, Inc.",7402000,2869000,-77996000,Biotechnology
PAHC,Phibro Animal Health Corporation,977889000,299474000,32606000,Pharmaceuticals: Major
ACRS,"Aclaris Therapeutics, Inc.",29752000,17792000,-86908000,Pharmaceuticals: Major
NSTG,"NanoString Technologies, Inc.",127262000,61787000,-159543000,Biotechnology
VEEE,Twin Vee PowerCats Co.,31987724,10103056,-5137252,Recreational Products
VBIV,"VBI Vaccines, Inc.",1082000.00000174,-12255000.0000197,-113303000.000182,Biotechnology
ABOS,"Acumen Pharmaceuticals, Inc.",0,-169000,-42856000,Pharmaceuticals: Major
DOCU,"DocuSign, Inc.",2515915000,1968734000,-97454000,Packaged Software
MFBP,"M&F Bancorp, Inc.",20484000,,4512000,Savings Banks
LGF.A,Lions Gate Entertainment Corporation,3854800000.0009,1348400000.00031,-2010200000.00047,Movies/Entertainment
PRPI,Perpetual Industries Inc.,5240521,2386225,-1396244,Electronic Equipment/Instruments
PLAY,"Dave & Buster's Entertainment, Inc.",1964427000,415807000,137135000,Movies/Entertainment
ZNTL,"Zentalis Pharmaceuticals, Inc.",0,-1426000,-236806000,Biotechnology
NVRO,Nevro Corp.,406365000,266040000.00000003,3001000,Medical Specialties
BBWI,"Bath & Body Works, Inc.",7560000000,3253000000,800000000,Apparel/Footwear Retail
HWAL,Hollywall Entertainment Inc.,266888,247516,-1226868,Miscellaneous Commercial Services
PACK,Ranpak Holdings Corp,326500000,67500000,-41400000,Containers/Packaging
SIGA,SIGA Technologies Inc.,110775610,100343049,33904806,Pharmaceuticals: Major
BSEM,"BioStem Technologies, Inc.",6875202,5750030,-7074861,Biotechnology
CGUD,"Com-Guard.com, Inc.",36000,,-861000,Computer Peripherals
FTCI,"FTC Solar, Inc.",123066000,-27859000,-99613000,Packaged Software
LSEA,Landsea Homes Corporation,1446449000,286924000,71845000,Homebuilding
NGM,"NGM Biopharmaceuticals, Inc.",55333000,49349000,-162667000,Biotechnology
ALTG,Alta Equipment Group Inc.,1571800000,403100000,9300000,Wholesale Distributors
RNST,Renasant Corporation,696539000,,166068000,Regional Banks
SYBX,"Synlogic, Inc.",1180000,-4489000,-66147000.00000001,Biotechnology
ENVA,"Enova International, Inc.",1736085000,,207424000,Finance/Rental/Leasing
MRIN,Marin Software Incorporated,20019000,7224000,-18227000,Packaged Software
NURS,HYDREIGHT TECHNOLOGIES INC,,,,Drugstore Chains
3DA,AMAERO INTERNATIONAL LTD,526482.324,-933248.484,-8343498.816,Chemicals: Major Diversified
TALK,"Talkspace, Inc.",119567000,59938000,-79672000,Medical/Nursing Services
SPWR,SunPower Corporation,1741072000,363903000,56037000,Engineering & Construction
KIRK,"Kirkland's, Inc.",498825000,28549000,-44694000,Specialty Stores
AXGN,"Axogen, Inc.",138584000,114437000,-28948000,Medical Specialties
